Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
The Olive Trees,Sain,Oil on canvas,72.6,91.4,null,Mrs. John Hay Whitney Bequest,Painting,Painting & Sculpture,1998,Y,80013
Windows,Pari,Oil and wax on canvas,79.9,70,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80024
Mural Painting,Barc,Oil on canvas,188.8,593.8,null,Mrs. Simon Guggenheim Fund,Painting,Painting & Sculpture,1963,Y,80040
Eddie (Sylvie's Brother) in the Desert (Variable Collage),New,Movable serigraphed paper cutouts over serigraphed cutouts pasted on painted wood panel,89.5,128.1,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80057
Leda and the Swan,Rome,Oil |  pencil |  and crayon on canvas,190.5,200,null,Acquired through the Lillie P. Bliss Bequest and The Sidney and Harriet Janis Collection (both by exchange),Painting,Painting & Sculpture,1994,Y,80083
Two Nudes,Pari,Oil on canvas,151.3,93,null,Gift of G. David Thompson in honor of Alfred H. Barr |  Jr.,Painting,Painting & Sculpture,1959,Y,80111
The Palace of Curtains |  III,Le P,Oil on canvas,81.2,116.4,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80137
Glass |  Guitar |  and Bottle,|  e,Oil |  cut-and-pasted newspaper |  charcoal |  and pencil on canvas,65.4,53.6,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80162
Painter and Model,Pari,Oil on canvas,129.8,163,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80166
Homage to the Square: Broad Call,fall,Oil on composition board,121.9,121.9,null,The Sidney and Harriet Janis Collection,Painting,Painting & Sculpture,1967,Y,80216
Nomads with Camel,May-,Oil on canvas,130.1,90,null,Mary Sisler Bequest,Painting,Painting & Sculpture,1990,Y,80224
Soul of the Underground,Venc,Oil on aluminum foil on composition board,149.6,195,null,Mary Sisler Bequest,Painting,Painting & Sculpture,1990,Y,80225
