Title,Year,Medium,Width,Height,Depth,CreditLine,Classification,Department,YearAcquired,CuratorApproved,ObjectID
Double page half title page from LE COEUR À GAZ,1923,,null,null,null,,Illustrated Book,Prints & Illustrated Books,1978,N,20039
Frontispiece from CINÉMA CALENDRIER DU COEUR ABSTRAIT |  MAISONS,-192,Woodcut from an illustrated book with nineteen woodcuts,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20134
Cinéma calendrier du coeur abstrait |  Maisons (Cinema Calendar of the Abstract Heart |  Houses),1920,Illustrated book with nineteen woodcuts,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20135
Configuration I  from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20163
Configuration X from the illustrated book 11Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20165
Configuration XI from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20166
Cover from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20167
Configuration II from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20169
Configuration III from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20170
Configuration IV from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20171
Configuration V  from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20172
Configuration VI from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20173
Configuration VII from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20174
Configuration VIII from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20175
Configuration IX from the illustrated book 11 Configurations,(Pri,Woodcut,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20176
Caliban from the portfolio Visions of Shakespeare (Shakespeare Visionen),-191,Lithograph,null,null,null,Given anonymously,Print,Prints & Illustrated Books,1943,Y,20236
DAVID AND BATHSHEDA (in-text plate |  page 13) from THE TUNNING OF ELYNOUR RUMMYNGE,(Pri,Wood engraving |  printed in color,5.5,4,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20250
Title page (Titelblatt) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20285
Drinking Song (Trinklied) (plate 1) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20287
City Night (Stadtnacht) (plate 2) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20288
Bitterness (Verbitterung) (plate 3) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20289
Suburban Morning (Vorstadtmorgen) (plate 4) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20290
Furnished Room (Möbliert) (plate 5) from Stadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20291
The Sick One (Die Kranke)(plate 6) fromStadtnacht (City Night),1921,Lithograph from an illustrated book with seven lithographs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,20292
Don Zhuan,1923,,null,null,null,Gift of The Judith Rothschild Foundation,Illustrated Book,Prints & Illustrated Books,2001,N,20302
Les Petites Fleurs,1928,Illustrated book with 329 woodcuts (including wrapper and pictorial initials and tailpieces |  some repeated),null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20308
Headpiece and tailpiece (justification page) from LES PETITES FLEURS,1928,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20419
Plate (page 257) from LES PETITES FLEURS,1928,One from an illustrated book with 329 woodcuts,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20429
Repeat of pictorial initial A from page 128 and repeat of tailpiece from page 58 (page 382) from LES PETITES FLEURS,1928,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20521
Repeat of pictorial initial L from page 14 and repeat of tailpiece from page 52 (page 384) from LES PETITES FLEURS,1928,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20523
Headpiece and tailpiece (page 5) from LES PETITES FLEURS,1928,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20530
Headpiece and tailpiece (colophon) from LES PETITES FLEURS,1928,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20566
L'Odyssée,1930,Illustrated book with 51 woodcuts and pochoirs,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20635
Les Amours,1915,Illustrated book with 17 etchings (including wrapper front),null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,20761
Petit Solfège Illustré,1893,Illustrated book with 32 photolithographic reproductions after drawings,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21262
Monsieur Benoît's Lament (La complainte de M. Benoît) from Répertoire des Pantins,1898,Lithograph cover and musical score,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21265
Répertoire des Pantins,-189,9 lithographs |  printed in black,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21266
Obscene Lullaby (Berceuse obscène) from Répertoire des Pantins,1898,Lithograph cover and musical score,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,Y,21267
Marie,1898,Illustrated book with 19 line block reproductions after drawings (including front cover),null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21276
Trial proof for plate from HOMAGE TO ODILON REDON,1959,Wood engraving |  printed in color,null,null,null,Gift of Mr. and Mrs. Peter A. Rübel,Print,Prints & Illustrated Books,1959,N,21390
Headpiece and tailpiece (table of contents) from DAPHNIS ET CHLOÉ,1902,,null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21454
LA 628-E8,1908,Illustrated book with 104 line block reproductions after drawings (including front cover),null,null,null,The Louis E. Stern Collection,Illustrated Book,Prints & Illustrated Books,1964,N,21560
Dark Shadow,1974,Artist's book |  lithograph printed,null,null,null,Gift of Kynaston McShine,Illustrated Book,Prints & Illustrated Books,1982,Y,21561
Trial proofs for plates from HOMAGE TO ODILON REDON,1959,9 wood engravings: 5 printed in black and 4 printed in color,null,null,null,Gift of Mr. and Mrs. Peter A. Rübel,Illustrated Book,Prints & Illustrated Books,1959,N,21564
River Avon Book,-197,Artist's book with thirty-four pages stained with mud and water from the River Avon,null,null,null,Gift of Kynaston McShine,Illustrated Book,Prints & Illustrated Books,1982,Y,21574
Plate (folio 9) from Untitled book,(196,Photolithograph |  printed in black with collage,10.8,17.8,null,Gift of Kynaston McShine,Illustrated Book,Prints & Illustrated Books,1982,N,21577
